#Date;Inv;Psum;Pmax
04.10.13;0;25000;10671
03.10.13;0;41000;10981
02.10.13;0;37000;7974
01.10.13;0;15000;3007
30.09.13;0;13000;2596
29.09.13;0;16000;4787
28.09.13;0;37000;9396
27.09.13;0;49000;10683
26.09.13;0;23000;10935
25.09.13;0;67000;10870
24.09.13;0;69000;10832
23.09.13;0;77000;10990
22.09.13;0;69000;11482
21.09.13;0;65000;12137
20.09.13;0;29000;10614
19.09.13;0;29000;9536
18.09.13;0;33000;11522
17.09.13;0;50000;12458
16.09.13;0;8000;1911
15.09.13;0;33000;11266
14.09.13;0;46000;10110
13.09.13;0;59000;12127
12.09.13;0;16000;7075
11.09.13;0;24000;6601
10.09.13;0;12000;4641
09.09.13;0;64000;12507
08.09.13;0;14000;3375
07.09.13;0;66000;11465
06.09.13;0;74000;10636
05.09.13;0;77000;10707
04.09.13;0;71000;10803
03.09.13;0;79000;10780
02.09.13;0;76000;11479
01.09.13;0;58000;12471
31.08.13;0;69000;11845
30.08.13;0;79000;11174
29.08.13;0;77000;11443
28.08.13;0;25000;8379
27.08.13;0;26000;4945
26.08.13;0;56000;11866
25.08.13;0;48000;12575
24.08.13;0;23000;5308
23.08.13;0;70000;11289
22.08.13;0;81000;11416
21.08.13;0;85000;11565
20.08.13;0;85000;11977
19.08.13;0;31000;9173
