#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp
30.09.13;19:15:00;1;0;13000;6;0;0;1;249;248;28
30.09.13;19:10:00;1;3;13000;6;0;1;2;251;253;28
30.09.13;19:05:00;1;5;13000;6;0;3;2;253;255;28
30.09.13;19:00:00;1;10;13000;6;0;6;5;387;339;28
30.09.13;18:55:00;1;24;13000;6;0;16;10;422;344;28
30.09.13;18:50:00;1;33;13000;6;0;19;17;430;299;28
30.09.13;18:45:00;1;49;13000;6;0;28;25;467;439;28
30.09.13;18:40:00;1;64;13000;6;0;35;34;487;464;29
30.09.13;18:35:00;1;91;13000;6;0;49;48;498;472;29
30.09.13;18:30:00;1;91;13000;6;0;51;48;500;475;29
30.09.13;18:25:00;1;97;13000;6;0;51;51;503;476;29
30.09.13;18:20:00;1;118;13000;6;0;63;62;515;484;29
30.09.13;18:15:00;1;163;13000;6;0;87;85;532;498;29
30.09.13;18:10:00;1;215;13000;6;0;117;111;545;508;29
30.09.13;18:05:00;1;280;13000;6;0;152;145;552;517;29
30.09.13;18:00:00;1;310;13000;6;0;167;161;555;520;29
30.09.13;17:55:00;1;328;13000;6;0;178;168;555;521;29
30.09.13;17:50:00;1;316;13000;6;0;172;163;554;520;29
30.09.13;17:45:00;1;355;13000;6;0;192;182;557;523;29
30.09.13;17:40:00;1;452;13000;6;0;244;235;565;529;29
30.09.13;17:35:00;1;466;13000;6;0;253;240;566;530;29
30.09.13;17:30:00;1;470;13000;6;0;256;242;566;531;29
30.09.13;17:25:00;1;453;13000;6;0;244;234;565;529;29
30.09.13;17:20:00;1;473;13000;6;0;257;243;565;530;29
30.09.13;17:15:00;1;529;13000;6;0;286;273;568;531;29
30.09.13;17:10:00;1;591;12000;6;0;322;303;570;533;29
30.09.13;17:05:00;1;641;12000;6;0;348;330;573;535;30
30.09.13;17:00:00;1;693;12000;6;0;376;355;574;537;30
30.09.13;16:55:00;1;659;12000;6;0;359;338;572;535;30
30.09.13;16:50:00;1;782;12000;6;0;425;401;575;541;30
30.09.13;16:45:00;1;713;12000;6;0;387;368;573;539;30
30.09.13;16:40:00;1;758;12000;6;0;410;385;575;537;30
30.09.13;16:35:00;1;1155;12000;6;0;607;567;585;547;30
30.09.13;16:30:00;1;1031;12000;6;0;548;515;582;545;30
30.09.13;16:25:00;1;944;12000;6;0;511;480;578;543;30
30.09.13;16:20:00;1;1119;12000;6;0;597;564;583;547;30
30.09.13;16:15:00;1;1092;12000;6;0;584;557;582;546;31
30.09.13;16:10:00;1;1074;12000;6;0;572;537;582;545;31
30.09.13;16:05:00;1;1254;11000;6;0;670;629;583;550;31
30.09.13;16:00:00;1;1481;11000;6;0;780;731;586;552;31
30.09.13;15:55:00;1;1572;11000;6;0;820;768;588;553;31
30.09.13;15:50:00;1;1697;11000;6;0;878;832;589;552;31
30.09.13;15:45:00;1;1677;11000;6;0;872;821;589;552;31
30.09.13;15:40:00;1;1879;11000;6;0;978;924;591;555;31
30.09.13;15:35:00;1;2085;11000;6;0;1090;1028;595;559;31
30.09.13;15:30:00;1;1924;11000;6;0;1006;941;592;560;31
30.09.13;15:25:00;1;1939;10000;6;0;1015;950;593;561;31
30.09.13;15:20:00;1;1787;10000;6;0;928;882;591;558;31
30.09.13;15:15:00;1;1629;10000;6;0;841;805;590;555;31
30.09.13;15:10:00;1;1743;10000;6;0;900;860;590;556;31
30.09.13;15:05:00;1;1540;10000;6;0;832;751;599;567;31
30.09.13;15:00:00;1;1693;10000;6;0;884;832;591;555;31
30.09.13;14:55:00;1;1664;9000;6;0;867;817;591;556;31
30.09.13;14:50:00;1;1700;9000;6;0;887;832;591;557;31
30.09.13;14:45:00;1;1617;9000;6;0;845;794;591;557;31
30.09.13;14:40:00;1;1465;9000;6;0;763;717;588;555;31
30.09.13;14:35:00;1;1439;9000;6;0;751;703;587;553;31
30.09.13;14:30:00;1;1483;9000;6;0;770;728;588;553;31
30.09.13;14:25:00;1;1578;9000;6;0;825;774;589;554;31
30.09.13;14:20:00;1;1903;9000;6;0;991;937;591;558;31
30.09.13;14:15:00;1;2061;8000;6;0;1077;1015;595;559;32
30.09.13;14:10:00;1;2080;8000;6;0;1083;1027;595;559;32
30.09.13;14:05:00;1;2004;8000;6;0;1043;990;593;559;31
30.09.13;14:00:00;1;1911;8000;6;0;997;939;592;559;31
30.09.13;13:55:00;1;2035;8000;6;0;1059;1007;594;559;31
30.09.13;13:50:00;1;2000;8000;6;0;1043;988;594;559;31
30.09.13;13:45:00;1;1993;7000;6;0;1036;986;595;558;31
30.09.13;13:40:00;1;1850;7000;6;0;965;912;592;557;31
30.09.13;13:35:00;1;1943;7000;6;0;1009;964;592;557;31
30.09.13;13:30:00;1;2142;7000;6;0;1113;1060;595;558;32
30.09.13;13:25:00;1;2249;7000;6;0;1169;1114;598;559;31
30.09.13;13:20:00;1;2258;7000;6;0;1179;1121;599;563;31
30.09.13;13:15:00;1;1975;6000;6;0;1034;971;596;561;31
30.09.13;13:10:00;1;1617;6000;6;0;843;794;592;558;31
30.09.13;13:05:00;1;1489;6000;6;0;772;732;588;555;31
30.09.13;13:00:00;1;1558;6000;6;0;810;765;589;555;31
30.09.13;12:55:00;1;1858;6000;6;0;972;911;591;558;31
30.09.13;12:50:00;1;2427;6000;6;0;1271;1192;597;563;32
30.09.13;12:45:00;1;2457;5000;6;0;1292;1208;599;567;31
30.09.13;12:40:00;1;1943;5000;6;0;1023;949;595;562;31
30.09.13;12:35:00;1;1801;5000;6;0;941;885;593;557;31
30.09.13;12:30:00;1;2084;5000;6;0;1094;1030;599;558;31
30.09.13;12:25:00;1;2313;5000;6;0;1214;1141;600;563;31
30.09.13;12:20:00;1;2047;5000;6;0;1075;1004;598;563;31
30.09.13;12:15:00;1;1707;4000;6;0;897;835;593;559;31
30.09.13;12:10:00;1;1889;4000;6;0;989;933;594;558;31
30.09.13;12:05:00;1;1594;4000;6;0;906;791;621;585;31
30.09.13;12:00:00;1;2307;4000;6;0;1209;1135;599;562;31
30.09.13;11:55:00;1;2289;4000;6;0;1202;1125;597;563;31
30.09.13;11:50:00;1;2537;4000;6;0;1327;1256;600;563;31
30.09.13;11:45:00;1;2596;3000;6;0;1357;1286;601;566;31
30.09.13;11:40:00;1;1909;3000;6;0;1002;938;597;563;30
30.09.13;11:35:00;1;2214;3000;6;0;1159;1096;601;565;30
30.09.13;11:30:00;1;1961;3000;6;0;1030;967;600;565;30
30.09.13;11:25:00;1;1560;3000;6;0;813;767;594;560;30
30.09.13;11:20:00;1;1483;3000;6;0;774;730;593;557;30
30.09.13;11:15:00;1;1616;2000;6;0;846;798;596;561;29
30.09.13;11:10:00;1;1418;2000;6;0;742;694;594;561;29
30.09.13;11:05:00;1;1498;2000;6;0;788;742;602;566;29
30.09.13;11:00:00;1;1636;2000;6;0;858;803;599;565;29
30.09.13;10:55:00;1;1405;2000;6;0;742;688;597;563;29
30.09.13;10:50:00;1;1307;2000;6;0;686;641;595;561;29
30.09.13;10:45:00;1;1273;2000;6;0;666;628;594;557;29
30.09.13;10:40:00;1;1396;2000;6;0;728;690;596;560;28
30.09.13;10:35:00;1;1284;1000;6;0;672;634;595;560;28
30.09.13;10:30:00;1;1168;1000;6;0;615;579;594;559;28
30.09.13;10:25:00;1;1038;1000;6;0;547;513;592;556;28
30.09.13;10:20:00;1;904;1000;6;0;479;447;590;553;28
30.09.13;10:15:00;1;932;1000;6;0;490;462;591;554;28
30.09.13;10:10:00;1;820;1000;6;0;431;408;588;551;27
30.09.13;10:05:00;1;666;1000;6;0;351;331;583;546;27
30.09.13;10:00:00;1;542;1000;6;0;289;272;579;541;27
30.09.13;09:55:00;1;444;1000;6;0;242;228;573;537;27
30.09.13;09:50:00;1;437;1000;6;0;237;224;573;537;27
30.09.13;09:45:00;1;448;1000;6;0;244;230;574;537;27
30.09.13;09:40:00;1;372;1000;6;0;201;193;567;533;27
30.09.13;09:35:00;1;339;1000;6;0;183;174;565;531;26
30.09.13;09:30:00;1;322;1000;6;0;175;165;564;529;26
30.09.13;09:25:00;1;306;1000;6;0;164;156;561;527;26
30.09.13;09:20:00;1;251;1000;6;0;136;127;554;520;26
30.09.13;09:15:00;1;181;1000;6;0;99;94;540;506;26
30.09.13;09:10:00;1;142;1000;6;0;77;74;530;498;26
30.09.13;09:05:00;1;152;1000;6;0;81;79;533;500;26
30.09.13;09:00:00;1;133;1000;6;0;73;70;524;493;25
30.09.13;08:55:00;1;115;1000;6;0;62;61;518;489;25
30.09.13;08:50:00;1;136;1000;6;0;73;72;529;496;25
30.09.13;08:45:00;1;166;1000;6;0;90;85;539;505;25
30.09.13;08:40:00;1;184;0;6;0;99;95;544;509;24
30.09.13;08:35:00;1;184;0;6;0;100;95;544;510;24
30.09.13;08:30:00;1;187;0;6;0;100;95;543;509;24
30.09.13;08:25:00;1;143;0;6;0;77;74;525;496;24
30.09.13;08:20:00;1;110;0;6;0;59;58;512;483;23
30.09.13;08:15:00;1;90;0;6;0;51;46;495;464;23
30.09.13;08:10:00;1;72;0;6;0;40;37;481;417;22
30.09.13;08:05:00;1;57;0;6;0;35;25;462;320;22
30.09.13;08:00:00;1;41;0;6;0;22;23;388;370;22
30.09.13;07:55:00;1;27;0;6;0;15;15;324;328;21
30.09.13;07:50:00;1;19;0;6;0;11;11;276;278;20
30.09.13;07:45:00;1;2;0;6;0;7;7;387;387;19
30.09.13;07:40:00;1;0;0;14;0;3;3;288;289;19
